Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Purdue University,Instagram,2,0.118
What social platform has influenced your online shopping most?,University,Purdue University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,None,13,0.765
What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,24,0.142
What social platform has influenced your online shopping most?,University,San Diego State University,Instagram,84,0.497
What social platform has influenced your online shopping most?,University,San Diego State University,Snapchat,4,0.024
What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,13,0.077
What social platform has influenced your online shopping most?,University,San Diego State University,None,44,0.26
What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Michigan State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,None,1,0.5
What social platform has influenced your online shopping most?,University,Butler University,Facebook,9,0.273
What social platform has influenced your online shopping most?,University,Butler University,Instagram,13,0.394
What social platform has influenced your online shopping most?,University,Butler University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Butler University,Twitter,5,0.152
What social platform has influenced your online shopping most?,University,Butler University,None,6,0.182
What social platform has influenced your online shopping most?,University,Indiana University,Facebook,18,0.225
What social platform has influenced your online shopping most?,University,Indiana University,Instagram,24,0.3
What social platform has influenced your online shopping most?,University,Indiana University,Snapchat,4,0.05
What social platform has influenced your online shopping most?,University,Indiana University,Twitter,10,0.125
What social platform has influenced your online shopping most?,University,Indiana University,None,24,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,12,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Instagram,11,0.275
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Snapchat,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",None,15,0.375
What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,3,0.125
What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,None,13,0.542
What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,5,0.217
What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,8,0.348
What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,1,0.043
What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,3,0.13
What social platform has influenced your online shopping most?,University,Texas Christian University,None,6,0.261
What social platform has influenced your online shopping most?,University,Truman State University,Facebook,18,0.36
What social platform has influenced your online shopping most?,University,Truman State University,Instagram,15,0.3
What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,Truman State University,Twitter,2,0.04
What social platform has influenced your online shopping most?,University,Truman State University,None,14,0.28
What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,18,0.209
